dataset,model,status,query_id,spectrum_id,casmi_id,adduct,precursor_mz,collision_energy_used,true_candidate_id,candidate_pool_policy,candidate_count,predicted_spectrum_count,failed_prediction_count,nan_score_count,true_rank,top1_correct,top5_correct,top10_correct,reciprocal_rank,top1_candidate_smiles,top1_tanimoto,formula_accuracy,score_name,elapsed_seconds
CASMI2022,massformer,completed,29,29,69,[M+H]+,442.152698645402,40,CASMI_MOL_1196818,full_query_candidate_set,8062,8062,0,0,955.0,False,False,False,0.0010471204188481676,COc1ccc2c(c1OC(C)=O)C(=O)OC2C1CN(C)Cc2c1cc1c(c2OC)OCO1,0.08653846153846154,False,binned_cosine_1Da,7217.478796243668
CASMI2022,massformer,completed,31,31,77,[M+H]+,268.169176279556,40,CASMI_MOL_1196820,full_query_candidate_set,9668,9668,0,0,6917.0,False,False,False,0.00014457134595923088,Cc1nccc2c1CC(c1ccc(C(C)(C)C)cc1)O2,0.2037037037037037,True,binned_cosine_1Da,1182.7264938354492
CASMI2022,massformer,partial_prediction_failures,34,34,91,[M+H]+,88.075645446777,40,CASMI_MOL_1196823,full_query_candidate_set,457,456,1,1,76.0,False,False,False,0.013157894736842105,CC1CNCO1,0.03571428571428571,True,binned_cosine_1Da,38.121357917785645
CASMI2022,massformer,completed,35,35,92,[M+H]+,812.47884213126,40,CASMI_MOL_1196824,full_query_candidate_set,233,233,0,0,38.0,False,False,False,0.02631578947368421,CC(=O)NC(Cc1ccc(O)cc1)c1cn(Cc2cn(C(CCCN=C(N)N)c3cn(C(CCCCN)c4cn(C(CCCCN)c5c[nH]nn5)nn4)nn3)nn2)nn1,0.10967741935483871,False,binned_cosine_1Da,56.86116981506348
CASMI2022,massformer,completed,37,37,98,[M+H]+,335.220961257905,40,CASMI_MOL_1196826,full_query_candidate_set,8957,8957,0,0,1946.0,False,False,False,0.0005138746145940391,CCC(C)CCc1ccc(C(=O)O)c(C(=O)O)c1CCC(C)CC,0.08333333333333333,True,binned_cosine_1Da,1532.4591853618622
CASMI2022,massformer,completed,38,38,99,[M+H]+,267.158658505007,40,CASMI_MOL_1196827,full_query_candidate_set,9532,9532,0,0,3473.0,False,False,False,0.00028793550244745177,C=CC12CCCCC(C1)CC2(C(=O)OC)C(=O)OC,0.08064516129032258,True,binned_cosine_1Da,933.465744972229
CASMI2022,massformer,completed,39,39,104,[M+H]+,110.059909596967,40,CASMI_MOL_1196829,full_query_candidate_set,859,859,0,0,525.0,False,False,False,0.0019047619047619048,C=c1onc(C)c1=C,0.0625,True,binned_cosine_1Da,59.07781171798706
CASMI2022,massformer,completed,40,40,105,[M+H]+,457.20099752921,40,CASMI_MOL_1196830,full_query_candidate_set,7695,7695,0,0,988.0,False,False,False,0.0010121457489878543,C=C(C)C(=O)OCOc1ccc(C(=O)Oc2ccc3c(c2)C(C)(C)c2cc(C)ccc2-3)c(C)c1,0.09803921568627451,False,binned_cosine_1Da,1224.0498514175415
CASMI2022,massformer,completed,41,41,106,[M+H]+,484.216078579256,40,CASMI_MOL_1196831,full_query_candidate_set,5158,5158,0,0,987.0,False,False,False,0.0010131712259371835,CCc1cnc(C2CC(CC)(S(=O)(=O)c3cccc(C(F)(F)F)c3)CCO2)c(CC)c1CC,0.09433962264150944,False,binned_cosine_1Da,3642.8973338603973
CASMI2022,massformer,completed,42,42,112,[M+H]+,395.232386610341,40,CASMI_MOL_1196832,full_query_candidate_set,9484,9484,0,0,715.0,False,False,False,0.0013986013986013986,COc1cccc(C2Nc3c(cccc3C(=O)N3CCC(C)(O)C3)CC2(C)C)c1,0.17,True,binned_cosine_1Da,5275.440955877304
