dataset,model,status,query_id,spectrum_id,casmi_id,adduct,precursor_mz,collision_energy_used,true_candidate_id,candidate_pool_policy,candidate_count,predicted_spectrum_count,failed_prediction_count,nan_score_count,true_rank,top1_correct,top5_correct,top10_correct,reciprocal_rank,top1_candidate_smiles,top1_tanimoto,formula_accuracy,score_name,elapsed_seconds
CASMI2022,massformer,completed,107,107,270,[M+H]+,317.210886689853,40,CASMI_MOL_1196896,full_query_candidate_set,8301,8301,0,0,2866.0,False,False,False,0.0003489183531053733,CC(C)c1c(O)c(O)cc2c1CCC1C(C)(C)CC(=O)CC21C,0.17567567567567569,True,binned_cosine_1Da,483.54021286964417
CASMI2022,massformer,partial_prediction_failures,108,108,271,[M+H]+,211.143956950586,40,CASMI_MOL_1196899,full_query_candidate_set,9739,9735,4,4,6319.0,False,False,False,0.0001582528881152081,CON(C)C(=O)C1CC2C=CC1N(C)C2,0.08064516129032258,True,binned_cosine_1Da,1217.617930173874
CASMI2022,massformer,partial_prediction_failures,109,109,272,[M+H]+,465.102494314505,40,CASMI_MOL_1196900,full_query_candidate_set,4864,4860,4,4,196.0,False,False,False,0.00510204081632653,CCc1ccc2nc(N3c4ccc(S(N)(=O)=O)cc4NC(=O)C3c3ccccc3)sc2c1,0.09615384615384616,False,binned_cosine_1Da,1066.914633512497
CASMI2022,massformer,completed,111,111,278,[M+H]+,173.091842651367,40,CASMI_MOL_1196902,full_query_candidate_set,2744,2744,0,0,1767.0,False,False,False,0.0005659309564233164,CCC(=O)ON1CCNCC1=O,0.14,True,binned_cosine_1Da,164.07150650024414
CASMI2022,massformer,completed,112,112,281,[M+H]+,275.127474208511,40,CASMI_MOL_1196903,full_query_candidate_set,9092,9092,0,0,5320.0,False,False,False,0.00018796992481203009,C#CCOCC1OC1Cc1cccc(OCC2CO2)c1,0.15151515151515152,True,binned_cosine_1Da,479.7835865020752
CASMI2022,massformer,completed,113,113,282,[M+H]+,384.237576499794,40,CASMI_MOL_1196905,full_query_candidate_set,7164,7164,0,0,250.0,False,False,False,0.004,CCC(C)(C)C(=O)OCC(=O)OC(C)C(OCO)C1CC(C)CC1(C)C#N,0.07692307692307693,True,binned_cosine_1Da,450.0446603298187
CASMI2022,massformer,completed,114,114,283,[M+H]+,773.212341308594,40,CASMI_MOL_1196906,full_query_candidate_set,689,689,0,0,561.0,False,False,False,0.0017825311942959,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(Cl)c(Nc2cc(=O)n(-c3c[nH]nc3-c3c(Cl)cc(Cl)cc3Cl)[nH]2)c1,0.08270676691729323,False,binned_cosine_1Da,84.74779987335205
CASMI2022,massformer,completed,115,115,284,[M+H]+,487.341135509272,40,CASMI_MOL_1196907,full_query_candidate_set,1876,1876,0,0,1152.0,False,False,False,0.0008680555555555555,CCCC(C)C1C(c2c(F)ccc(C)c2F)CC2C3CCC4CCCCC4(C(=O)O)C3CCC21C,0.102803738317757,False,binned_cosine_1Da,154.9614839553833
CASMI2022,massformer,completed,116,116,285,[M+H]+,227.117682198429,40,CASMI_MOL_1196909,full_query_candidate_set,9725,9725,0,0,558.0,False,False,False,0.0017921146953405018,O=c1ccc2cc(C3=CCNCC3)ccc2[nH]1,0.109375,True,binned_cosine_1Da,527.9227571487427
CASMI2022,massformer,completed,119,119,291,[M+H]+,277.133189720886,40,CASMI_MOL_1196912,full_query_candidate_set,9424,9424,0,0,6236.0,False,False,False,0.00016035920461834508,C=CC=C(C)C(=CC)OP(C)Oc1ccccc1C,0.14285714285714285,False,binned_cosine_1Da,556.1895577907562
